City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
161,eastham,41.8301,-69.9739,294.16,86,100,0.0,US,1693109343
162,quthing,-30.4,27.7003,274.26,43,0,1.32,LS,1693109344
163,gebeit,21.0667,36.3167,303.36,26,96,1.43,SD,1693109344
164,borogontsy,62.6683,131.1683,294.87,47,29,2.29,RU,1693109345
165,port alfred,-33.5906,26.891,282.69,73,50,1.79,ZA,1693109345
166,kulunda,52.566,78.9385,292.18,57,100,5.04,RU,1693109345
167,gizo,-8.103,156.8419,299.89,81,85,8.05,SB,1693109346
168,ust'-ilimsk,58.0006,102.6619,291.46,83,98,2.0,RU,1693109346
169,sharypovo,55.5403,89.2008,291.64,70,71,4.54,RU,1693109346
170,suzun,53.7841,82.3116,291.71,68,100,2.11,RU,1693109347
171,kerikeri,-35.2268,173.9474,289.77,73,37,2.24,NZ,1693109347
172,lata,40.1629,-8.3327,287.08,97,20,0.9,PT,1693109347
173,georgetown,5.4112,100.3354,304.11,70,20,2.06,MY,1693109108
174,olonkinbyen,70.9221,-8.7187,280.27,88,79,9.63,SJ,1693109348
175,nantucket,41.2835,-70.0995,294.21,79,100,0.0,US,1693109348
176,qamdo,31.1667,97.2333,277.1,90,100,2.21,CN,1693109146
177,chonchi,-42.6128,-73.8092,280.71,90,73,2.25,CL,1693109349
178,vorgashor,67.5833,63.95,277.75,97,100,5.8,RU,1693109349
179,leticia,-4.2153,-69.9406,297.18,94,0,1.03,CO,1693109350
180,cockburn town,21.4612,-71.1419,301.38,74,3,1.86,TC,1693109350
181,leksand,60.7339,15.0032,286.98,97,100,2.47,SE,1693109350
182,jabor,5.921,169.6434,302.12,73,27,4.97,MH,1693109351
183,iquique,-20.2208,-70.1431,289.85,75,11,0.74,CL,1693109351
184,mathba,22.2855,89.9629,300.15,86,100,2.08,BD,1693109351
185,fale old settlement,-9.3852,-171.2468,301.34,70,36,4.84,TK,1693109351
186,baturite,-4.3286,-38.8847,295.21,95,7,1.42,BR,1693109352
187,abepura,-2.6333,140.5833,306.6,49,20,1.54,ID,1693109352
188,tazacorte,28.629,-17.9293,297.69,83,100,6.17,ES,1693109353
189,talcahuano,-36.7167,-73.1167,281.15,74,0,1.93,CL,1693109354
190,lintong,34.378,109.2089,291.33,94,100,0.53,CN,1693109354
