City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
139,ocean shores,46.9737,-124.1563,290.15,95,100,0.0,US,1693134771
140,kerikeri,-35.2268,173.9474,281.43,91,35,1.6,NZ,1693134680
141,luancheng,37.8792,114.6517,291.99,91,100,2.39,CN,1693134771
142,olonkinbyen,70.9221,-8.7187,280.13,86,100,8.65,SJ,1693134771
143,flying fish cove,-10.4217,105.6791,297.97,78,40,5.66,CX,1693134772
144,vilyuchinsk,52.9306,158.4028,286.07,79,78,0.6,RU,1693134772
145,novo aripuana,-5.1206,-60.3797,297.48,72,8,1.02,BR,1693134772
146,jamestown,42.097,-79.2353,288.92,96,0,3.09,US,1693134773
147,tiksi,71.6872,128.8694,283.57,96,43,1.49,RU,1693134773
148,longyearbyen,78.2186,15.6401,281.06,93,100,5.14,SJ,1693134736
149,prabumulih,-3.45,104.25,302.25,59,94,1.83,ID,1693134775
150,severo-yeniseyskiy,60.3725,93.0408,289.69,53,64,2.32,RU,1693134775
151,clanton,32.8387,-86.6294,297.43,90,13,1.45,US,1693134775
152,albesti,47.7,27.0667,311.43,18,62,3.86,RO,1693134776
153,ca mau,9.1769,105.15,302.06,72,83,4.93,VN,1693134553
154,la estrella,6.1577,-75.6432,290.83,99,55,1.79,CO,1693134666
155,port mathurin,-19.6833,63.4167,295.85,73,27,10.86,MU,1693134777
156,conceicao do rio verde,-21.8808,-45.0853,287.8,87,100,1.54,BR,1693134777
157,richards bay,-28.783,32.0377,293.35,51,24,5.7,ZA,1693134778
158,charters towers,-20.1,146.2667,289.49,74,0,3.98,AU,1693134778
159,prairie view,30.0933,-95.9877,300.25,86,0,2.59,US,1693134779
160,mata-utu,-13.2816,-176.1745,300.12,79,97,10.45,WF,1693134779
161,codrington,-38.2667,141.9667,284.94,85,100,2.85,AU,1693134779
162,shetpe,44.1667,52.1167,297.36,26,63,7.47,KZ,1693134780
163,zhumysker,49.3333,49.4,297.39,24,34,7.2,KZ,1693134780
164,elk city,35.412,-99.4043,295.14,88,0,4.12,US,1693134780
165,mitu,1.1983,-70.1733,295.11,95,7,0.52,CO,1693134781
166,trincomalee,8.5711,81.2335,302.65,72,21,6.53,LK,1693134782
167,ribnitz-damgarten,54.25,12.4667,295.96,74,100,0.89,DE,1693134782
168,wenchang,30.904,118.4887,299.23,89,100,1.51,CN,1693134783
169,holualoa,19.6228,-155.9522,296.06,86,75,5.66,US,1693134783
170,la ronge,55.1001,-105.2842,289.29,77,20,3.6,CA,1693134784
171,bawshar,23.5556,58.3989,304.8,74,76,5.66,OM,1693134727
172,tindouf,27.6711,-8.1474,314.4,11,0,2.06,DZ,1693134786
173,weno,7.4515,151.8468,301.6,74,100,3.39,FM,1693134786
174,chonchi,-42.6128,-73.8092,278.77,92,100,2.57,CL,1693134787
175,al ghayzah,16.2079,52.176,302.65,70,38,5.82,YE,1693134787
176,crane,31.3974,-102.3501,299.21,46,12,3.02,US,1693134788
177,goure,13.9835,10.2704,309.19,34,84,4.02,NE,1693134790
178,rouyn-noranda,48.2398,-79.0288,275.2,93,20,0.0,CA,1693134790
179,puerto baquerizo moreno,-0.9,-89.6,296.61,79,82,5.43,EC,1693134790
180,sandnessjoen,66.0217,12.6316,293.44,45,0,2.57,NO,1693134790
181,vangviang,18.9333,102.45,299.11,96,100,0.5,LA,1693134791
182,pundong,-7.9522,110.3486,296.11,80,8,2.2,ID,1693134791
183,natal,-5.795,-35.2094,300.27,89,40,2.57,BR,1693134791
184,karratha,-20.7377,116.8463,296.08,61,0,3.7,AU,1693134792
185,le port,-20.9373,55.2919,298.13,95,24,3.19,RE,1693134702
186,mariakani,-3.8633,39.4736,304.94,38,5,7.05,KE,1693134793
187,cowra,-33.8333,148.6833,284.58,76,100,1.54,AU,1693134793
